Date,BTC,FET,STORJ,KMD,TRU,HBAR,FUN,CKB,TROY,NMR
2021-12-31 04:00:00,88.56164356360117,68.06153329272944,154.8426233338594,88.61112235542531,32.87154634991597,66.52596432540278,131.70258360334935,77.61932672300496,83.13902430567269,37.54013353765081
2021-12-31 05:00:00,88.56164356360117,68.06153329272944,155.02267289587547,88.71415854421069,32.87154634991597,66.60332009787417,131.855726142423,77.70958175407821,83.13902430567269,37.54013353765081
2021-12-31 06:00:00,88.56164356360117,68.06153329272944,155.38403110775394,88.92095145457013,32.87154634991597,66.7585725922748,132.16308214741696,77.89072297028817,83.13902430567269,37.54013353765081
2021-12-31 07:00:00,88.56164356360117,68.06153329272944,152.19120855074533,87.09380861646254,32.87154634991597,65.38682110065274,129.44740237726458,76.29022866267952,83.13902430567269,37.54013353765081
2021-12-31 08:00:00,88.66285687053097,68.06153329272944,152.3651413605176,87.09380861646254,32.87154634991597,65.46154889619632,129.5953422656957,76.37741749543686,83.13902430567269,37.54013353765081
2021-12-31 09:00:00,89.07003416959198,68.06153329272944,153.06486646435462,87.09380861646254,32.87154634991597,65.76217598641995,130.19049883178386,76.72817486625401,83.13902430567269,37.54013353765081
2021-12-31 10:00:00,89.17241351921223,68.06153329272944,153.24080309247464,87.09380861646254,32.87154634991597,65.83776469445034,130.34014308331467,76.81636817069801,83.13902430567269,37.54013353765081
2021-12-31 11:00:00,89.5842953368529,68.06153329272944,153.94861280652762,87.09380861646254,32.87154634991597,66.14186522421684,130.9421760767711,77.17117818534327,83.13902430567269,37.54013353765081
2021-12-31 12:00:00,89.89571235424634,68.29813190208999,154.48377600284226,87.09380861646254,32.87154634991597,66.37179059579579,131.39736324737396,77.43944415817757,83.13902430567269,37.54013353765081
2021-12-31 13:00:00,90.31431869815437,68.61616744063292,155.20314166525367,87.09380861646254,32.87154634991597,66.68085597691709,132.00922524154103,77.80004692492113,83.13902430567269,37.54013353765081
2021-12-31 14:00:00,89.99999972356686,68.3773640736702,154.66299152024703,87.09380861646254,32.87154634991597,66.4487880326819,131.54979638339188,77.52928110035647,83.13902430567269,37.54013353765081
2021-12-31 15:00:00,90.84309105587192,69.0179014420418,156.1118251644648,87.09380861646254,32.87154634991597,67.07125911495527,132.78211297714725,78.25555071253777,83.13902430567269,37.54013353765081
2021-12-31 16:00:00,90.84309105587192,69.0179014420418,156.1118251644648,87.09380861646254,32.87154634991597,67.07125911495527,132.78211297714725,78.25555071253777,83.13902430567269,37.54013353765081
2021-12-31 17:00:00,90.84309105587192,69.17991529519212,156.4782848479494,87.09380861646254,32.87154634991597,67.07125911495527,133.09380807803257,78.4392491883888,83.13902430567269,37.54013353765081
2021-12-31 18:00:00,90.84309105587192,70.16819979940915,158.71368891720584,87.09380861646254,33.34113986920048,67.07125911495527,134.99514819343307,78.4392491883888,83.13902430567269,37.54013353765081
2021-12-31 19:00:00,90.84309105587192,70.16819979940915,158.71368891720584,87.09380861646254,33.34113986920048,67.07125911495527,134.99514819343307,78.4392491883888,83.13902430567269,37.54013353765081
2021-12-31 20:00:00,91.16753066678575,69.91849090332585,158.71368891720584,87.09380861646254,33.22248812589372,67.3107993260801,134.51473841338523,78.4392491883888,83.13902430567269,37.54013353765081
2021-12-31 21:00:00,91.38382374072827,69.75300335089196,158.71368891720584,87.09380861646254,33.14385501790345,67.4704928001633,134.19636033430035,78.4392491883888,83.13902430567269,37.54013353765081
2021-12-31 22:00:00,90.95123759284319,70.08476555470119,158.71368891720584,87.09380861646254,33.301495232019505,67.15110585199685,134.83463077584278,78.4392491883888,83.13902430567269,37.54013353765081
2021-12-31 23:00:00,92.57343564741232,68.8566446629716,158.71368891720584,87.09380861646254,32.71794099314066,68.34880690762105,132.47187439542495,78.4392491883888,83.13902430567269,37.54013353765081
2022-01-01 00:00:00,92.89787525832617,68.61616744063292,158.15939198268705,87.09380861646254,32.60367577430547,68.58834711874592,132.00922524154103,78.4392491883888,83.13902430567269,37.54013353765081
2022-01-01 01:00:00,93.00602179529743,68.61616744063292,157.9754857129398,87.09380861646254,32.56576452340513,68.66819385578751,131.855726142423,78.4392491883888,83.13902430567269,37.54013353765081
2022-01-01 02:00:00,92.78972872135489,68.61616744063292,158.34372693837784,87.09380861646254,32.64167539642004,68.50850038170431,132.16308214741696,78.4392491883888,83.13902430567269,37.54013353765081
