Date,ONG,PSG,OG,CKB,PAXG,STRAX,HIVE,LSK,KMD,YFI
2022-03-18 01:00:00,483.51987527230915,344.4316844158553,403.6722344268672,205.35368701843797,403.5770066095888,303.1989718368855,146.77988602067148,138.54761275007309,528.883266107993,193.62389347072425
2022-03-18 02:00:00,483.51987527230915,344.4316844158553,397.9750384059593,205.35368701843797,403.5770066095888,303.1989718368855,144.70831975658706,138.54761275007309,536.4544737175556,193.62389347072425
2022-03-18 03:00:00,483.51987527230915,342.02805157035823,397.9750384059593,205.35368701843797,400.76062532800205,303.1989718368855,144.70831975658706,137.5807516634223,532.7108007296067,192.27267994689134
2022-03-18 04:00:00,483.51987527230915,338.96171401785756,397.9750384059593,205.35368701843797,397.1677406234734,303.1989718368855,144.70831975658706,136.34731767053813,527.9349610714263,190.54892385105597
2022-03-18 05:00:00,483.51987527230915,341.05838441384435,397.9750384059593,205.35368701843797,399.624448297433,303.1989718368855,144.70831975658706,137.19070314066514,531.2005381502186,191.72757698827903
2022-03-18 06:00:00,483.51987527230915,340.2691004180293,397.9750384059593,205.35368701843797,398.6996295690512,303.1989718368855,144.70831975658706,136.87321372738,529.9712234566338,191.28387727295518
2022-03-18 07:00:00,483.51987527230915,341.23427837176797,397.9750384059593,205.35368701843797,399.83054651728736,303.1989718368855,144.70831975658706,137.26145646874184,531.4744940749996,191.82645660508578
2022-03-18 08:00:00,483.51987527230915,343.0032481922541,397.9750384059593,205.35368701843797,401.9032813359358,303.1989718368855,144.70831975658706,137.97302441311066,534.2296754854456,192.82089132050876
2022-03-18 09:00:00,483.51987527230915,342.38202626797323,397.9750384059593,205.35368701843797,401.1753840605537,303.1989718368855,144.70831975658706,137.7231379523366,533.2621185052649,192.47166849017407
2022-03-18 10:00:00,483.51987527230915,340.44418099452446,397.9750384059593,205.35368701843797,398.9047747347672,303.1989718368855,144.70831975658706,137.7231379523366,530.2439125348209,191.3822996435613
2022-03-18 11:00:00,484.2662398855414,340.44418099452446,397.9750384059593,205.35368701843797,398.2899715885025,303.1989718368855,144.70831975658706,137.7231379523366,529.42668585226,191.08733591433932
2022-03-18 12:00:00,483.1466929656931,340.44418099452446,397.9750384059593,205.35368701843797,399.2128886184449,303.1989718368855,144.70831975658706,137.7231379523366,529.42668585226,191.53012325296675
2022-03-18 13:00:00,480.90759912599617,340.44418099452446,397.9750384059593,205.35368701843797,399.2128886184449,303.1989718368855,144.70831975658706,137.7231379523366,529.42668585226,192.4218827507819
2022-03-18 14:00:00,484.8882103965683,340.44418099452446,397.9750384059593,205.35368701843797,399.2128886184449,303.1989718368855,144.70831975658706,137.7231379523366,529.42668585226,190.84222645318698
2022-03-18 15:00:00,484.8882103965683,340.44418099452446,397.9750384059593,205.35368701843797,399.2128886184449,300.9599165317493,144.70831975658706,137.7231379523366,529.42668585226,189.43290010555714
2022-03-18 16:00:00,484.8882103965683,340.44418099452446,397.9750384059593,205.35368701843797,405.31239799382223,296.4307981490292,144.70831975658706,137.7231379523366,529.42668585226,186.58214163895732
2022-03-18 17:00:00,484.8882103965683,340.44418099452446,396.37794770756574,205.35368701843797,403.68586216038824,297.62518061450004,144.70831975658706,137.7231379523366,529.42668585226,187.3339206030025
2022-03-18 18:00:00,484.8882103965683,340.44418099452446,401.568492477345,205.35368701843797,408.9721036190486,293.7781735570916,144.70831975658706,137.7231379523366,529.42668585226,184.912502787602
